Current (pA),Frequency (Hz)
179.55911823647295,1
179.95991983967937,1
180.3607214428858,1
180.76152304609218,1
181.1623246492986,1
181.56312625250501,1
181.96392785571143,1
182.36472945891785,1
182.76553106212427,1
183.16633266533066,1
183.56713426853707,1
183.9679358717435,1
184.3687374749499,1
184.76953907815633,1
185.17034068136272,1
185.57114228456913,1
185.97194388777555,1
186.37274549098197,1
186.7735470941884,1
187.1743486973948,1
187.5751503006012,1
187.9759519038076,1
188.37675350701403,1
188.77755511022045,1
189.17835671342687,1
189.57915831663328,1
189.97995991983967,1
190.3807615230461,1
190.7815631262525,1
191.18236472945893,1
191.58316633266534,1
191.98396793587176,1
192.38476953907815,1
192.78557114228457,1
193.18637274549098,1
193.5871743486974,1
193.98797595190382,1
194.38877755511024,1
194.78957915831663,1
195.19038076152304,1
195.59118236472946,1
195.99198396793588,1
196.3927855711423,1
196.79358717434872,1
197.1943887775551,1
197.59519038076152,1
197.99599198396794,1
198.39679358717436,1
198.79759519038078,1
199.1983967935872,1
199.59919839679358,1
200.0,1
